iter	MultiClass
0	1.033653578
1	0.9812311209
2	0.9375687795
3	0.9037448418
4	0.8739514197
5	0.8503181214
6	0.8288565298
7	0.8115715749
8	0.793686784
9	0.7806346392
10	0.7673468513
11	0.7545208593
12	0.7422937011
13	0.7325776788
14	0.7254230749
15	0.7166381632
16	0.7089839733
17	0.7018011206
18	0.6938576309
19	0.6874896577
20	0.6789903558
21	0.6742785812
22	0.669145727
23	0.6625960084
24	0.6575022813
25	0.6543193462
26	0.6517496364
27	0.6463811969
28	0.6435280297
29	0.6372905535
30	0.6333265576
31	0.6301054957
32	0.6231328911
33	0.6199087126
34	0.615234942
35	0.6132252888
36	0.6099550404
37	0.6074484323
38	0.6032163241
39	0.6007437579
40	0.5962824366
41	0.5931142855
42	0.5893466853
43	0.5872581379
44	0.5845695244
45	0.5827508434
46	0.5787347635
47	0.5748148435
48	0.5726230749
49	0.569437781
50	0.5635249928
51	0.5612358658
52	0.5544516402
53	0.5510420053
54	0.54815384
55	0.5462371572
56	0.5433050408
57	0.5377748176
58	0.5354598587
59	0.5334772376
60	0.5320328417
61	0.5300537985
62	0.5269638105
63	0.5240057921
64	0.5216635387
65	0.5194742517
66	0.5180475157
67	0.5136229875
68	0.509765666
69	0.5051378437
70	0.501970725
71	0.4982831129
72	0.4953028799
73	0.4918458437
74	0.4884079973
75	0.4844750032
76	0.4807808625
77	0.475933252
78	0.4731473547
79	0.4708863157
80	0.4675199571
81	0.4657707577
82	0.4625655537
83	0.4586253898
84	0.456439619
85	0.4534057192
86	0.4495531914
87	0.4449879545
88	0.4426169719
89	0.4397308625
90	0.4379357604
91	0.4363112367
92	0.4329472018
93	0.4296743372
94	0.4261673732
95	0.4228848092
96	0.4210125211
97	0.4176835608
98	0.4148376943
99	0.4121468576
100	0.4096748354
101	0.407079327
102	0.4035424837
103	0.4014411821
104	0.3982020149
105	0.3959623524
106	0.3933830716
107	0.3919152461
108	0.3896046061
109	0.3878850137
110	0.3840100388
111	0.3809908023
112	0.3781223897
113	0.3756969394
114	0.3743940938
115	0.3716290146
116	0.3689900401
117	0.3662701075
118	0.3630706733
119	0.3615822087
120	0.3587602693
121	0.3555965615
122	0.3532773652
123	0.3507911281
124	0.3484464681
125	0.347407791
126	0.3454811185
127	0.3436418878
128	0.3416632269
129	0.3372315047
130	0.3354428043
131	0.3332789374
