iter	Passed	Remaining
0	38	19390
1	67	16823
2	106	17650
3	135	16851
4	163	16194
5	192	15845
6	219	15480
7	248	15293
8	275	15035
9	303	14893
10	331	14725
11	359	14622
12	387	14516
13	405	14078
14	433	14006
15	462	13994
16	490	13948
17	518	13886
18	545	13808
19	573	13774
20	602	13745
21	631	13711
22	659	13683
23	688	13650
24	716	13619
25	744	13565
26	772	13527
27	800	13502
28	828	13462
29	857	13438
30	887	13434
31	915	13384
32	942	13336
33	970	13302
34	999	13283
35	1028	13253
36	1056	13222
37	1084	13189
38	1112	13153
39	1141	13127
40	1169	13094
41	1198	13064
42	1226	13030
43	1254	13004
44	1284	12985
45	1314	12972
46	1342	12940
47	1371	12910
48	1399	12881
49	1428	12854
50	1456	12824
51	1483	12783
52	1512	12754
53	1541	12728
54	1569	12700
55	1601	12701
56	1646	12797
57	1680	12806
58	1710	12781
59	1739	12757
60	1770	12741
61	1799	12711
62	1831	12701
63	1861	12680
64	1895	12682
65	1926	12670
66	1955	12635
67	1984	12608
68	2014	12584
69	2043	12550
70	2071	12514
71	2099	12478
72	2128	12449
73	2157	12421
74	2186	12390
75	2215	12361
76	2244	12330
77	2274	12304
78	2303	12274
79	2332	12243
80	2360	12208
81	2390	12183
82	2417	12147
83	2448	12126
84	2483	12125
85	2512	12093
86	2542	12070
87	2571	12040
88	2599	12005
89	2628	11972
90	2657	11942
91	2686	11912
92	2714	11880
93	2744	11854
94	2774	11826
95	2803	11796
96	2832	11768
97	2861	11736
98	2893	11720
99	2923	11693
100	2951	11660
101	2980	11631
102	3009	11598
103	3039	11572
104	3068	11542
105	3097	11513
106	3126	11484
107	3154	11451
108	3194	11460
109	3223	11429
110	3252	11399
111	3282	11371
112	3311	11342
113	3340	11310
114	3367	11274
115	3395	11241
116	3423	11207
117	3454	11182
118	3483	11153
119	3513	11125
120	3542	11095
121	3572	11067
122	3602	11040
123	3631	11010
124	3659	10977
125	3687	10944
126	3714	10909
127	3744	10882
128	3773	10852
129	3810	10845
130	3843	10825
131	3878	10811
132	3922	10822
133	3952	10796
134	3994	10799
135	4026	10775
136	4059	10755
137	4092	10734
138	4126	10717
139	4165	10710
140	4195	10683
141	4229	10663
142	4262	10641
143	4293	10614
144	4327	10594
145	4361	10575
146	4392	10548
147	4423	10521
148	4454	10494
149	4486	10468
150	4518	10442
151	4552	10423
152	4583	10395
153	4614	10368
154	4645	10340
155	4678	10315
156	4709	10289
157	4740	10260
158	4779	10250
159	4810	10223
160	4841	10195
161	4873	10167
162	4905	10141
163	4939	10120
164	4971	10092
165	5001	10063
166	5034	10039
167	5069	10017
168	5101	9990
169	5132	9963
170	5167	9941
171	5201	9919
172	5232	9889
173	5262	9860
174	5300	9843
175	5332	9817
176	5365	9790
177	5395	9761
178	5429	9736
179	5459	9706
180	5491	9677
181	5520	9645
182	5553	9620
183	5604	9625
184	5651	9623
185	5685	9597
186	5729	9590
187	5763	9564
188	5796	9537
189	5828	9509
190	5860	9481
191	5895	9457
192	5929	9432
193	5963	9405
194	5997	9380
195	6035	9360
196	6066	9330
197	6096	9298
198	6124	9264
199	6155	9233
200	6186	9203
201	6217	9172
202	6247	9139
203	6277	9108
204	6308	9077
205	6336	9043
206	6366	9011
207	6396	8979
208	6426	8947
209	6457	8917
210	6486	8884
211	6517	8853
212	6544	8818
213	6574	8786
214	6604	8754
215	6646	8738
216	6683	8716
217	6713	8684
218	6743	8653
219	6774	8622
220	6804	8589
221	6834	8557
222	6864	8527
223	6895	8496
224	6926	8465
225	6957	8435
226	6989	8405
227	7020	8375
228	7050	8343
229	7081	8313
230	7111	8281
231	7141	8249
232	7168	8214
233	7198	8183
234	7229	8152
235	7260	8121
236	7290	8090
237	7321	8060
238	7351	8028
239	7382	7997
240	7412	7966
241	7444	7936
242	7475	7905
243	7505	7874
244	7534	7841
245	7564	7810
246	7593	7778
247	7624	7747
248	7654	7716
249	7685	7685
250	7716	7655
251	7745	7622
252	7776	7591
253	7806	7560
254	7836	7529
255	7868	7499
256	7899	7468
257	7927	7436
258	7956	7403
259	7987	7373
260	8017	7341
261	8048	7311
262	8078	7280
263	8107	7247
264	8136	7215
265	8166	7183
266	8195	7152
267	8227	7122
268	8258	7092
269	8287	7059
270	8317	7028
271	8347	6997
272	8379	6967
273	8410	6937
274	8440	6905
275	8471	6875
276	8501	6844
277	8532	6813
278	8576	6793
279	8609	6764
280	8639	6733
281	8670	6702
282	8700	6671
283	8730	6639
284	8761	6609
285	8793	6579
286	8822	6547
287	8852	6516
288	8882	6484
289	8912	6454
290	8949	6427
291	8982	6398
292	9021	6373
293	9072	6356
294	9113	6333
295	9148	6304
296	9180	6275
297	9212	6244
298	9241	6212
299	9273	6182
300	9303	6151
301	9333	6119
302	9367	6090
303	9398	6059
304	9429	6028
305	9462	5999
306	9494	5968
307	9529	5940
308	9565	5912
309	9598	5882
310	9632	5853
311	9663	5823
312	9694	5792
313	9725	5761
314	9759	5731
315	9792	5702
316	9835	5677
317	9865	5646
318	9898	5616
319	9932	5586
